DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2017/01/25 05:00:00+00,1525,1525,1 DESTINY USA DR,LARCENY, ,Yes,,1
2017/03/25 04:00:00+00,2340,2340,1300 E  FAYETTE ST     ,ROBBERY, ,,All Other,2
2017/04/19 04:00:00+00,1210,1210,500 S  STATE ST     ,AGGRAVATED ASSAULT, ,Yes,,3
2017/03/26 04:00:00+00,530,530,500 BUTTERNUT ST     ,ROBBERY,A,Yes,All Other,4
2017/08/24 04:00:00+00,1109,1109,100 S  COLLINGWOOD AV     ,BURGLARY, ,,,5
2017/03/26 04:00:00+00,930,930,1 DESTINY USA DR,BURGLARY, ,Yes,All Other,6
2017/03/26 04:00:00+00,835,835,100 SUNSET AV     ,LARCENY, ,,All Other,7
2017/12/20 05:00:00+00,616,616,500 S  STATE ST     ,LARCENY, ,Yes,,8
2017/03/27 04:00:00+00,16,16,300 PROSPECT AV     ,ROBBERY, ,,All Other,9
2017/12/21 05:00:00+00,2339,2339,1 DESTINY USA DR,LARCENY, ,,,10
2017/03/27 04:00:00+00,2350,15,2500 ERIE BLVD E ,LARCENY, ,,All Other,11
2017/12/21 05:00:00+00,2339,2339,1 DESTINY USA DR,LARCENY, ,,,12
2016/01/01 05:00:00+00,1,700,700 IRVING AV     ,LARCENY, ,Yes,All Other,13
2017/03/27 04:00:00+00,1250,1520,1100 SALT SPRINGS RD     ,LARCENY, ,,All Other,14
2017/03/27 04:00:00+00,1300,1100,700 BUTTERNUT ST     ,LARCENY, ,,All Other,15
2016/02/11 05:00:00+00,1000,1000,700 W  GENESEE ST     ,LARCENY, ,Yes,All Other,16
2016/04/04 04:00:00+00,0,800,600 JAMES ST     ,LARCENY, ,,All Other,17
2017/03/28 04:00:00+00,1335,1335,100 VICTORIA PL     ,LARCENY, ,,All Other,18
2016/05/19 04:00:00+00,1000,1000,700 W  GENESEE ST     ,LARCENY, ,Yes,All Other,19
2017/03/28 04:00:00+00,2200,600,900 HAWLEY AV     ,BURGLARY, ,,All Other,20
2016/07/07 04:00:00+00,1200,1200,1300 BUTTERNUT ST     ,LARCENY, ,,All Other,21
2016/08/18 04:00:00+00,900,900,100 W  GLEN AV     ,LARCENY, ,,All Other,22
2017/03/29 04:00:00+00,1059,1059,700 LODI ST     ,LARCENY, ,,All Other,23
2017/03/29 04:00:00+00,1455,1455,700 WINTON ST     ,LARCENY, ,,All Other,24
2016/10/13 04:00:00+00,900,900,200 S  WARREN ST     ,LARCENY, ,,All Other,25
2016/10/21 04:00:00+00,730,2230,100 AVONDALE PL     ,LARCENY, ,,All Other,26
2017/03/29 04:00:00+00,1701,1701,100 RIDGEWAY AV     ,BURGLARY, ,,All Other,27
2016/12/03 05:00:00+00,1300,1300,100 WESTCOTT ST     ,LARCENY, ,,All Other,28
2017/03/29 04:00:00+00,700,1730,200 CATHERINE ST     ,BURGLARY, ,,All Other,29
2016/12/08 05:00:00+00,1200,1200,100 DICKERSON ST     ,LARCENY, ,,All Other,30
