DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2019/01/01 00:00:00+00,0120,0124,100 BALLANTYNE RD     ,AGGRAVATED ASSAULT,Yes,N/A,1
2019/01/01 00:00:00+00,1819,0700,100 DAWES AV     ,LARCENY,,All Other,2
2019/01/01 00:00:00+00,0115,0245,100 FENTON ST     ,MV THEFT,,Motor Vehicle,3
2019/01/01 00:00:00+00,1900,1900,100 MILDRED AV     ,AGGRAVATED ASSAULT,Yes,N/A,4
2019/01/01 00:00:00+00,0725,0725,1400 MIDLAND AV     ,AGGRAVATED ASSAULT,,N/A,5
2019/01/01 00:00:00+00,1243,1243,1800 W  GENESEE ST     ,LARCENY,,Shoplifting,6
2019/01/01 00:00:00+00,0830,0830,200 CLYDE AV     ,AGGRAVATED ASSAULT,,N/A,7
2019/01/01 00:00:00+00,1300,1300,200 GENESEE PARK DR     ,MV THEFT,,Motor Vehicle,8
2019/01/01 00:00:00+00,0030,0045,300 BRUCE ST     ,AGGRAVATED ASSAULT,Yes,N/A,9
2019/01/01 00:00:00+00,1127,1127,300 ROWLAND ST     ,AGGRAVATED ASSAULT,,N/A,10
2019/01/01 00:00:00+00,1642,1642,300 S  SALINA ST     ,BURGLARY,Yes,From Building,11
2019/01/01 00:00:00+00,1506,1506,400 SOLAR ST     ,AGGRAVATED ASSAULT,,N/A,12
2019/01/01 00:00:00+00,0408,0408,500 CANNON ST     ,AGGRAVATED ASSAULT,,N/A,13
2019/01/01 00:00:00+00,1837,1837,600 BUTTERNUT ST     ,AGGRAVATED ASSAULT,Yes,N/A,14
2019/01/01 00:00:00+00,2107,2107,600 S  GEDDES ST     ,LARCENY,,From Building,15
2019/01/01 00:00:00+00,1702,1705,700 E  LAUREL ST     ,ROBBERY,,Purse Snatch,16
2019/01/01 00:00:00+00,2200,0214,800 SOUTH AV     ,BURGLARY,,N/A,17
2019/01/01 00:00:00+00,2355,1200,900 ACKERMAN AV     ,LARCENY,,,18
2019/01/02 00:00:00+00,1930,2015,1 DESTINY USA DR,MV THEFT,,Motor Vehicle,19
2019/01/02 00:00:00+00,1540,1540,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,20
2019/01/02 00:00:00+00,1800,2350,200 WOODBINE AV     ,BURGLARY,,From Building,21
2019/01/02 00:00:00+00,2106,2106,2800 S SALINA ST ,MURDER,,,22
2019/01/02 00:00:00+00,0900,1600,300 FURMAN ST     ,BURGLARY,,From Building,23
2019/01/02 00:00:00+00,2340,2340,400 LODI ST     ,LARCENY,,All Other,24
2019/01/02 00:00:00+00,2300,0700,400 S  SALINA ST     ,LARCENY,,From Building,25
2019/01/02 00:00:00+00,0001,0001,400 SHONNARD ST     ,AGGRAVATED ASSAULT,,N/A,26
2019/01/02 00:00:00+00,1902,1902,400 STOLP AV     ,MV THEFT,,Motor Vehicle,27
2019/01/02 00:00:00+00,2248,2248,600 S  GEDDES ST     ,AGGRAVATED ASSAULT,,N/A,28
2019/01/02 00:00:00+00,0300,0600,900 N  TOWNSEND ST     ,LARCENY,,All Other,29
2019/01/03 00:00:00+00,1459,1459,0 MAXWELL CT     ,AGGRAVATED ASSAULT,Yes,N/A,30
2019/01/03 00:00:00+00,2315,2315,0 TRELIGN DR     ,MV THEFT,Yes,Motor Vehicle,31
2019/01/03 00:00:00+00,1600,2200,1 DESTINY USA DR,MV THEFT,,Motor Vehicle,32
2019/01/03 00:00:00+00,1455,1455,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,33
2019/01/03 00:00:00+00,1200,0830,100 CLARENDON AV     ,BURGLARY,,N/A,34
2019/01/03 00:00:00+00,2008,2025,100 CROLY ST     ,AGGRAVATED ASSAULT,,N/A,35
2019/01/03 00:00:00+00,0705,0705,100 W  FLORENCE AV     ,MV THEFT,,Motor Vehicle,36
2019/01/03 00:00:00+00,1700,0700,1000 BUTTERNUT ST     ,LARCENY,,From Motor Vehicle,37
2019/01/03 00:00:00+00,1330,1330,1500 SOUTH AV     ,ROBBERY,,All Other,38
2019/01/03 00:00:00+00,0630,0100,200 CAYUGA ST     ,MV THEFT,Yes,Motor Vehicle,39
2019/01/03 00:00:00+00,0900,1002,200 DUANE ST     ,LARCENY,,From Mailbox,40
2019/01/03 00:00:00+00,0100,1200,300 PALMER AV     ,LARCENY,,All Other,41
2019/01/03 00:00:00+00,0900,0900,500 N  GEDDES ST     ,LARCENY,,All Other,42
2019/01/03 00:00:00+00,1405,1405,600 BUTTERNUT ST     ,LARCENY,Yes,Shoplifting,43
2019/01/03 00:00:00+00,0900,0900,600 N  SALINA ST     ,LARCENY,,All Other,44
2019/01/03 00:00:00+00,2200,2200,600 W  ERIE BLVD   ,LARCENY,,From Motor Vehicle,45
2019/01/03 00:00:00+00,2310,2314,700 CATHERINE ST     ,AGGRAVATED ASSAULT,Yes,N/A,46
2019/01/03 00:00:00+00,1600,1608,700 JAMES ST     ,AGGRAVATED ASSAULT,,N/A,47
2019/01/03 00:00:00+00,1610,1610,700 JAMES ST     ,BURGLARY,,N/A,48
2019/01/04 00:00:00+00,1030,1030,100 CHAFFEE AV     ,BURGLARY,,From Building,49
2019/01/04 00:00:00+00,1019,1019,100 LINWELL TER    ,LARCENY,,All Other,50
2019/01/04 00:00:00+00,2025,2025,1400 IVY RIDGE RD     ,LARCENY,,From Motor Vehicle,51
2019/01/04 00:00:00+00,0021,0021,1600 BELLEVUE AV     ,BURGLARY,,From Building,52
2019/01/04 00:00:00+00,2357,0001,200 BRADFORD PKWY   ,MV THEFT,,Motor Vehicle,53
2019/01/04 00:00:00+00,1150,1150,400 W  BEAR ST     ,LARCENY,Yes,All Other,54
2019/01/04 00:00:00+00,1820,1820,500 GIFFORD ST     ,AGGRAVATED ASSAULT,Yes,N/A,55
2019/01/04 00:00:00+00,1210,1210,600 HAZELWOOD AV     ,LARCENY,,From Motor Vehicle,56
2019/01/04 00:00:00+00,1746,1932,600 S  CROUSE AV     ,LARCENY,,From Motor Vehicle,57
2019/01/04 00:00:00+00,1430,2340,700 LODI ST     ,MV THEFT,,Motor Vehicle,58
2019/01/04 00:00:00+00,0930,0930,700 PARK AV     ,BURGLARY,,From Building,59
2019/01/04 00:00:00+00,1200,1500,800 COMSTOCK AV     ,BURGLARY,,From Building,60
2019/01/04 00:00:00+00,2200,1100,900 ACKERMAN AV     ,LARCENY,,From Motor Vehicle,61
2019/01/05 00:00:00+00,1441,1441,1 DESTINY USA DR,LARCENY,,All Other,62
2019/01/05 00:00:00+00,1300,1315,1 DESTINY USA DR,LARCENY,,All Other,63
2019/01/05 00:00:00+00,1933,1937,1 DESTINY USA DR,LARCENY,,Shoplifting,64
2019/01/05 00:00:00+00,1848,1848,100 REDFIELD PL     ,BURGLARY,Yes,All Other,65
2019/01/05 00:00:00+00,1400,1429,100 STEUBEN ST     ,LARCENY,Yes,All Other,66
2019/01/05 00:00:00+00,2100,2100,1000 W  BELDEN AV     ,AGGRAVATED ASSAULT,,N/A,67
2019/01/05 00:00:00+00,0900,0840,1900 BELLEVUE AV     ,BURGLARY,,All Other,68
2019/01/05 00:00:00+00,1930,1930,400 BUTTERNUT ST     ,LARCENY,Yes,From Building,69
2019/01/05 00:00:00+00,1227,2200,400 ROBINEAU RD     ,AGGRAVATED ASSAULT,Yes,N/A,70
2019/01/05 00:00:00+00,1959,1959,400 STOLP AV     ,MV THEFT,,Motor Vehicle,71
2019/01/05 00:00:00+00,2030,1100,4100 E  GENESEE ST     ,LARCENY,,Pocket Picking,72
