DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Attempt,Arrest,LarcenyCode,FID
2020/01/05 05:00:00+00,829,829,200 N  STATE ST     ,LARCENY, ,,,1
2020/02/14 05:00:00+00,1000,1000,1800 MIDLAND AV     ,LARCENY, ,,All Other,2
2020/01/06 05:00:00+00,1731,1731,500 DELAWARE ST     ,RAPE, ,Yes,,3
2020/02/14 05:00:00+00,1933,1933,1 DESTINY USA DR,LARCENY, ,Yes,All Other,4
2020/02/14 05:00:00+00,0,1830,400 CHINOOK DR     ,LARCENY, ,,All Other,5
2020/01/15 05:00:00+00,2145,2145,2800 S  SALINA ST     ,ROBBERY,A,,,6
2020/02/14 05:00:00+00,800,800,1500 SALT SPRINGS RD     ,BURGLARY, ,,All Other,7
2020/02/15 05:00:00+00,1200,1200,100 S  CLINTON ST     ,LARCENY, ,,All Other,8
2020/01/20 05:00:00+00,1900,1451,600 W  ONONDAGA ST     ,RAPE, ,Yes,,9
2020/01/24 05:00:00+00,42,42,1 DESTINY USA DR,BURGLARY, ,Yes,,10
2020/02/16 05:00:00+00,1350,2000,200 ROBERT DR     ,LARCENY, ,,All Other,11
2020/02/16 05:00:00+00,1010,1010,400 IVY RIDGE RD     ,LARCENY, ,,All Other,12
2020/01/26 05:00:00+00,258,258,1600 FIRST NORTH ST     ,ROBBERY, ,Yes,,13
2020/01/26 05:00:00+00,1028,1028,4700 ONONDAGA BLVD   ,LARCENY, ,Yes,,14
2020/02/17 05:00:00+00,1948,1948,400 LANDON AV     ,LARCENY, ,,All Other,15
2020/02/18 05:00:00+00,943,943,100 DELONG AV     ,LARCENY, ,,All Other,16
2020/01/31 05:00:00+00,2010,2010,400 SHONNARD ST     ,AGGRAVATED ASSAULT, ,Yes,,17
2020/02/01 05:00:00+00,1954,1954,1700 LODI ST     ,AGGRAVATED ASSAULT, ,Yes,,18
2020/02/18 05:00:00+00,1200,1200,700 JAMES ST     ,LARCENY, ,,All Other,19
2020/02/18 05:00:00+00,2125,2125,100 JAMESVILLE AV     ,ROBBERY, ,,All Other,20
2020/02/06 05:00:00+00,1746,1746,300 STOLP AV     ,LARCENY, ,Yes,,21
2020/02/07 05:00:00+00,2253,2253,200 W  LAFAYETTE ST     ,LARCENY, ,,,22
2020/02/19 05:00:00+00,1230,1530,500 S  CROUSE AV     ,BURGLARY, ,,All Other,23
2020/02/19 05:00:00+00,900,2253,300 LYNCH AV     ,LARCENY, ,Yes,All Other,24
2020/02/10 05:00:00+00,1654,1654,300 W  FAYETTE ST     ,BURGLARY, ,Yes,,25
2020/02/13 05:00:00+00,1255,1255,600 CATHERINE ST     ,AGGRAVATED ASSAULT, ,Yes,,26
2020/02/19 05:00:00+00,1200,2300,200 SUNSET AV     ,LARCENY, ,,All Other,27
2020/02/19 05:00:00+00,1025,1125,100 COMSTOCK AV     ,LARCENY, ,,All Other,28
2020/02/14 05:00:00+00,1015,1015,1 DESTINY USA DR,BURGLARY, ,Yes,,29
2020/02/14 05:00:00+00,2138,2138,200 E  BELDEN AV     ,AGGRAVATED ASSAULT, ,Yes,,30
2020/02/21 05:00:00+00,1430,1515,100 HERKIMER ST     ,LARCENY, ,,All Other,31
2020/02/21 05:00:00+00,855,2359,200 ELIZABETH ST     ,BURGLARY, ,,All Other,32
2020/02/18 05:00:00+00,49,49,100 RONEY LN     ,AGGRAVATED ASSAULT, ,Yes,,33
2020/02/18 05:00:00+00,129,129,200 SLOCUM AV     ,BURGLARY, ,Yes,,34
2020/02/21 05:00:00+00,1000,1000,1800 E  FAYETTE ST     ,LARCENY, ,,All Other,35
2020/02/21 05:00:00+00,1740,1740,400 WOODBINE AV     ,LARCENY, ,,All Other,36
2020/03/02 05:00:00+00,1923,1923,1 DESTINY USA DR,AGGRAVATED ASSAULT, ,Yes,,37
2020/03/07 05:00:00+00,1130,1130,200 HIAWATHA BLVD E ,RAPE, ,Yes,,38
2020/02/21 05:00:00+00,1900,2100,100 MONTGOMERY ST     ,LARCENY, ,,All Other,39
2020/02/22 05:00:00+00,650,650,300 HERBERT ST     ,LARCENY, ,,All Other,40
2020/03/07 05:00:00+00,1836,1836,200 FAIRFIELD AV     ,AGGRAVATED ASSAULT, ,Yes,,41
2020/03/09 04:00:00+00,857,857,200 N  STATE ST     ,LARCENY, ,,,42
2020/02/22 05:00:00+00,1549,1549,1800 TEALL AV     ,LARCENY,A,,All Other,43
2020/02/22 05:00:00+00,130,230,100 CLARKE ST     ,LARCENY, ,,All Other,44
2020/03/09 04:00:00+00,2116,2116,400 CRAIG ST     ,AGGRAVATED ASSAULT,A,Yes,,45
2020/03/24 04:00:00+00,830,830,600 SOUTH AV     ,LARCENY, ,Yes,,46
2020/02/23 05:00:00+00,1920,2300,200 AINSLEY DR     ,LARCENY, ,,All Other,47
2020/02/23 05:00:00+00,549,549,500 ELM ST     ,LARCENY, ,,All Other,48
2020/03/30 04:00:00+00,2109,2109,700 N  ALVORD ST     ,AGGRAVATED ASSAULT, ,Yes,,49
2020/04/03 04:00:00+00,1828,1828,100 GLAHN AV     ,AGGRAVATED ASSAULT, ,Yes,,50
2020/02/24 05:00:00+00,0,0,100 BENEDICT AV     ,LARCENY, ,,All Other,51
2020/02/25 05:00:00+00,856,856,200 VILLAGE DR     ,LARCENY, ,,All Other,52
2020/04/05 04:00:00+00,453,453,400 SOUTH AV     ,RAPE, ,,,53
2020/04/07 04:00:00+00,7,7,100 E  OSTRANDER AV     ,LARCENY, ,Yes,,54
2020/02/25 05:00:00+00,900,900,1300 BURNET AV     ,LARCENY, ,Yes,All Other,55
2020/02/25 05:00:00+00,1040,1010,1000 IVY RIDGE RD     ,LARCENY, ,,All Other,56
2020/02/26 05:00:00+00,1646,1646,100 BROAD ST     ,ROBBERY, ,,All Other,57
2020/02/26 05:00:00+00,1500,1500,300 GRAND AV     ,LARCENY, ,,All Other,58
2020/02/26 05:00:00+00,1230,1230,600 ARTHUR ST     ,LARCENY, ,,All Other,59
2020/02/27 05:00:00+00,1130,1555,800 S  WILBUR AV     ,LARCENY, ,,All Other,60
2020/02/27 05:00:00+00,1837,1837,200 S  EDWARDS AV     ,LARCENY, ,,All Other,61
2020/02/27 05:00:00+00,1730,1730,1200 S  GEDDES ST     ,LARCENY, ,,All Other,62
2020/02/28 05:00:00+00,1145,1530,300 MOUNT OLYMPUS DR     ,LARCENY, ,,All Other,63
2020/02/28 05:00:00+00,1000,1000,400 S  ALVORD ST     ,LARCENY, ,Yes,All Other,64
2020/02/28 05:00:00+00,1200,0,400 W  FAYETTE ST     ,LARCENY, ,Yes,All Other,65
