X,Y,OBJECTID,DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,ARREST
,,1,2018/01/01,1120,1120,0 DESTINY USA DR,LARCENY,
-8476678.30909348,5317786.47367217,2,2018/01/01,2230,2230,300 BURT ST,ROBBERY,
-8474133.83613145,5317794.19678475,3,2018/01/01,1839,1839,400 CLARENDON ST,BURGLARY,
-8476502.88574882,5321180.31119792,4,2018/01/01,0225,0225,700 BUTTERNUT ST,AGGRAVATED ASSAULT,
-8475985.25220752,5319155.883374,5,2018/01/01,0248,0248,700 E  GENESEE ST,AGGRAVATED ASSAULT,
-8476099.38816618,5318467.06109584,6,2018/01/01,0025,0025,700 E  ADAMS ST,AGGRAVATED ASSAULT,
-8476099.38816618,5318467.06109584,7,2018/01/01,0515,0515,700 E  ADAMS ST,AGGRAVATED ASSAULT,
-8472618.95075613,5317297.06693025,8,2018/01/02,1600,1630,1000 MEADOWBROOK DR,LARCENY,
-8475634.45191125,5318461.85740987,9,2018/01/01,0248,0248,700 IRVING AV,ROBBERY,A
-8479345.04141433,5320192.37527262,10,2018/01/02,1700,1700,1000 W  GENESEE ST,LARCENY,
-8477789.12891569,5317473.88538145,11,2018/01/02,1300,1300,200 LINCOLN AV,LARCENY,
-8474917.32776807,5312871.07532739,12,2018/01/01,2000,1300,800 E  BRIGHTON AV,MV THEFT,
-8476644.98715086,5322603.07496441,13,2018/01/02,1849,1849,400 GRIFFITHS ST,BURGLARY,
-8478760.11284287,5322441.95076817,14,2018/01/02,0250,0250,100 WOLF ST,BURGLARY,
-8482295.40796146,5320623.72918027,15,2018/01/02,2000,2000,1100 AVERY AV,MV THEFT,
-8477443.98284959,5319085.96546529,16,2018/01/02,1653,1653,500 S  CLINTON ST,AGGRAVATED ASSAULT,
-8475480.50801279,5322815.18010429,17,2018/01/02,1700,1000,1400 OAK ST,BURGLARY,
-8475016.43867773,5319059.91775109,18,2018/01/02,0845,0845,500 WALNUT AV,LARCENY,
-8476334.90663693,5320234.8794298,19,2018/01/02,1000,1100,600 JAMES ST,LARCENY,
