DATE,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2012/12/31 05:00:00+00,0,2359,100 CHENEY ST,SEX OFFENSES,False,1
2013/05/01 04:00:00+00,1300,1300,300 W  COLVIN ST,FRAUD,False,2
2013/05/08 04:00:00+00,0,0,100 S  COLLINGWOOD AV,FRAUD,False,3
2014/01/01 05:00:00+00,900,900,700 EMERSON AV,FRAUD,False,4
2015/01/20 05:00:00+00,0,0,2000 LODI ST,SEX OFFENSES,False,5
2016/01/01 05:00:00+00,1,1,2000 E  GENESEE ST,FRAUD,False,6
2016/04/13 04:00:00+00,2320,2336,1100 S  TOWNSEND ST,SIMPLE ASSAULT,False,7
2016/04/16 04:00:00+00,2325,2018,3400 S  SALINA ST,CRIMINAL MISCHIEF,True,8
2016/04/28 04:00:00+00,845,930,100 HIER AV,SIMPLE ASSAULT,False,9
2016/05/31 04:00:00+00,0,0,200 KENWICK DR,FRAUD,False,10
2016/09/09 04:00:00+00,0,0,100 S  STATE ST,FRAUD,False,11
2017/01/01 05:00:00+00,1517,1527,1300 GRANT BLVD,OFFN AGAINST FAMILY,False,12
2017/01/03 05:00:00+00,1730,1730,400 JAMES ST,CRIMINAL MISCHIEF,True,13
2017/01/03 05:00:00+00,1950,2005,100 STEWART CT,POSSESSION/MARIJUANA,True,14
2017/01/06 05:00:00+00,1700,1740,1100 W  COLVIN ST,POSSESSION/MARIJUANA,False,15
2017/01/07 05:00:00+00,1508,1508,100 E  LAFAYETTE AV,SIMPLE ASSAULT,False,16
2017/01/13 05:00:00+00,1245,1245,1600 VALLEY DR,SIMPLE ASSAULT,False,17
2017/01/18 05:00:00+00,930,936,200 GRUMBACH AV,SIMPLE ASSAULT,False,18
2017/01/20 05:00:00+00,1721,1721,200 W  LAFAYETTE AV,SIMPLE ASSAULT,False,19
2017/01/21 05:00:00+00,2250,2316,700 DANFORTH ST,OFFN AGAINST FAMILY,False,20
2017/01/24 05:00:00+00,2100,1455,200 ELMHURST AV,SIMPLE ASSAULT,False,21
