DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,ObjectID
2019/01/01 00:00:00+00,0007,0007,500 BELLEVUE AV     ,SIMPLE ASSAULT,0,1
2019/01/01 00:00:00+00,0017,0017,1500 E  GENESEE ST     ,ALL OTHER OFFENSES,1,2
2019/01/01 00:00:00+00,0024,0024,300 KELLOGG ST     ,POSSESSION/USE DANGEROUS WEAPONS,0,3
2019/01/01 00:00:00+00,0050,0050,400 S  CLINTON ST     ,ALL OTHER OFFENSES,0,4
2019/01/01 00:00:00+00,1900,0140,100 GRAVES ST     ,CRIMINAL MISCHIEF,1,5
2019/01/01 00:00:00+00,0100,0200,100 BALLANTYNE RD     ,CRIMINAL MISCHIEF,1,6
2019/01/01 00:00:00+00,0215,0218,100 MARTIN LUTHER KING      W ,SIMPLE ASSAULT,0,7
2019/01/01 00:00:00+00,0232,0232,800 N  ALVORD ST     ,CRIMINAL MISCHIEF,1,8
2019/01/01 00:00:00+00,0255,0259,100 CLYDE AV     ,POSSESSION/MARIJUANA,0,9
2019/01/01 00:00:00+00,0300,0305,100 SHOTWELL PK     ,SIMPLE ASSAULT,0,10
2019/01/01 00:00:00+00,0245,0307,200 RICHMOND AV     ,SIMPLE ASSAULT,0,11
2019/01/01 00:00:00+00,0300,0343,400 IVY RIDGE RD     ,SIMPLE ASSAULT,0,12
2019/01/01 00:00:00+00,0405,0405,700 LEMOYNE AVE    ,SIMPLE ASSAULT,0,13
2019/01/01 00:00:00+00,0430,0430,200 RICHMOND AV     ,CRIMINAL MISCHIEF,1,14
2019/01/01 00:00:00+00,0500,0508,1300 WILLIS AV     ,SIMPLE ASSAULT,0,15
2019/01/01 00:00:00+00,2300,0700,600 HIGHLAND ST     ,CRIMINAL MISCHIEF,1,16
2019/01/01 00:00:00+00,0934,0950,1100 TEALL AV     ,OFFN AGAINST FAMILY,0,17
2019/01/01 00:00:00+00,1000,1000,600 W  ONONDAGA ST     ,POSSESSION/MARIJUANA,0,18
2019/01/01 00:00:00+00,1300,1305,200 MIDLAND AV     ,SIMPLE ASSAULT,0,19
2019/01/01 00:00:00+00,0100,1200,4300 S  SALINA ST     ,CRIMINAL MISCHIEF,1,20
2019/01/01 00:00:00+00,1600,1607,300 TULLY ST     ,SIMPLE ASSAULT,0,21
2019/01/01 00:00:00+00,1530,1600,600 N  MCBRIDE ST     ,CRIMINAL MISCHIEF,1,22
2019/01/01 00:00:00+00,1830,1833,600 W  ONONDAGA ST     ,SIMPLE ASSAULT,0,23
2019/01/01 00:00:00+00,1850,1853,100 HARTSON ST     ,CRIMINAL MISCHIEF,0,24
2019/01/01 00:00:00+00,2125,2128,300 SEYMOUR ST     ,SIMPLE ASSAULT,0,25
2019/01/01 00:00:00+00,2254,2254,200 FITCH ST     ,SIMPLE ASSAULT,0,26
2019/01/01 00:00:00+00,2304,2330,1100 N  TOWNSEND ST     ,POSSESSION/MARIJUANA,0,27
2019/01/01 00:00:00+00,2335,2335,100 COOLIDGE AV     ,POSSESSION/MARIJUANA,0,28
2019/01/01 00:00:00+00,1815,1815,4700 ONONDAGA BLVD   ,FORGERY/COUNTERFEIT,0,29
2019/01/01 00:00:00+00,1900,1900,300 PROSPECT AV     ,SIMPLE ASSAULT,0,30
2019/01/01 00:00:00+00,0000,0000,300 MONTGOMERY ST     ,FRAUD,0,31
2019/01/01 00:00:00+00,0000,0000,100 BENEDICT AV     ,OFFN AGAINST FAMILY,0,32
2019/01/01 00:00:00+00,1600,1600,700 SPRING ST     ,OFFN AGAINST FAMILY,0,33
2019/01/02 00:00:00+00,0020,0020,1000 S  CLINTON ST     ,OFFN AGAINST FAMILY,0,34
2019/01/02 00:00:00+00,0124,0126,100 RONEY LN     ,SIMPLE ASSAULT,0,35
2019/01/02 00:00:00+00,0330,0500,600 GIFFORD ST     ,CRIMINAL MISCHIEF,1,36
2019/01/02 00:00:00+00,0843,0843,1000 BELLEVUE AV     ,ALL OTHER OFFENSES,0,37
2019/01/02 00:00:00+00,1034,1034,100 SMITH LN     ,POSSESSION/USE DRUG,0,38
2019/01/02 00:00:00+00,1105,1105,100 E  COLVIN ST     ,CRIMINAL MISCHIEF,1,39
2019/01/02 00:00:00+00,1700,1302,100 JERICHO DR     ,CRIMINAL MISCHIEF,0,40
2019/01/02 00:00:00+00,1115,1115,2000 MIDLAND AV     ,CRIMINAL MISCHIEF,1,41
2019/01/02 00:00:00+00,1429,1428,900 JAMES ST     ,SIMPLE ASSAULT,0,42
2019/01/02 00:00:00+00,1900,0800,300 N  BEECH ST     ,CRIMINAL MISCHIEF,1,43
2019/01/02 00:00:00+00,1458,1458,200 VILLAGE DR     ,SIMPLE ASSAULT,0,44
2019/01/02 00:00:00+00,1511,1511,200 MERRIMAN AV     ,POSSESSION/USE DANGEROUS WEAPONS,0,45
2019/01/02 00:00:00+00,1359,1359,200 W  JEFFERSON ST     ,ALL OTHER OFFENSES,0,46
2019/01/02 00:00:00+00,1815,1815,700 S  GEDDES ST     ,POSSESSION/MARIJUANA,0,47
2019/01/02 00:00:00+00,1816,1816,300 OTISCO ST     ,POSSESSION/MARIJUANA,0,48
2019/01/02 00:00:00+00,1844,1844,2300 GRANT BLVD   ,CRIMINAL MISCHIEF,1,49
2019/01/02 00:00:00+00,1854,1854,200 ROWLAND ST     ,POSSESSION/USE DRUG,0,50
2019/01/02 00:00:00+00,2008,2008,1 DESTINY USA DR,FORGERY/COUNTERFEIT,0,51
2019/01/02 00:00:00+00,2120,2126,300 E  FLORENCE AV     ,OFFN AGAINST FAMILY,0,52
2019/01/02 00:00:00+00,2000,0900,100 RIDER AV     ,CRIMINAL MISCHIEF,1,53
2019/01/02 00:00:00+00,0000,0000,100 BAKER AV     ,CRIMINAL MISCHIEF,1,54
2019/01/03 00:00:00+00,1425,1425,100 HOLLAND ST     ,POSSESSION/USE DRUG,0,55
2019/01/03 00:00:00+00,0014,0013,600 CARBON ST     ,SIMPLE ASSAULT,0,56
2019/01/03 00:00:00+00,2335,0014,2000 LODI ST     ,SIMPLE ASSAULT,0,57
2019/01/03 00:00:00+00,0040,0042,300 FELLOWS AV     ,OFFN AGAINST FAMILY,0,58
2019/01/03 00:00:00+00,0913,0913,200 BOSTON ST     ,SIMPLE ASSAULT,0,59
2019/01/03 00:00:00+00,0940,0946,900 TALLMAN ST     ,SIMPLE ASSAULT,0,60
2019/01/03 00:00:00+00,0955,0955,700 BUTTERNUT ST     ,POSSESSION/MARIJUANA,0,61
2019/01/03 00:00:00+00,0955,0955,700 BUTTERNUT ST     ,POSSESSION/MARIJUANA,0,62
2019/01/03 00:00:00+00,1300,1302,100 SMITH LN     ,SIMPLE ASSAULT,0,63
2019/01/03 00:00:00+00,1415,1423,300 W  KENNEDY ST     ,SIMPLE ASSAULT,0,64
2019/01/03 00:00:00+00,1400,1400,200 MAGNOLIA ST     ,SIMPLE ASSAULT,1,65
2019/01/03 00:00:00+00,1525,1525,100 RONEY LN     ,SIMPLE ASSAULT,0,66
2019/01/03 00:00:00+00,1610,1610,1000 COL EILEEN COLLINS BLVD   ,POSSESSION/MARIJUANA,0,67
2019/01/03 00:00:00+00,2044,1843,200 WESTMORELAND AV     ,SIMPLE ASSAULT,0,68
2019/01/03 00:00:00+00,1330,2125,400 IVY RIDGE RD     ,OFFN AGAINST FAMILY,0,69
2019/01/04 00:00:00+00,0045,0050,100 GRIFFITHS ST     ,SIMPLE ASSAULT,0,70
2019/01/04 00:00:00+00,0128,0128,600 N  SALINA ST     ,POSSESSION/MARIJUANA,0,71
2019/01/04 00:00:00+00,0146,0146,200 E  BELDEN AV     ,SIMPLE ASSAULT,0,72
2019/01/04 00:00:00+00,1503,1503,100 N  FRANKLIN ST     ,ALL OTHER OFFENSES,1,73
2019/01/04 00:00:00+00,2318,0618,100 FERNWOOD AV     ,SIMPLE ASSAULT,0,74
2019/01/04 00:00:00+00,0730,0746,500 S  CLINTON ST     ,SIMPLE ASSAULT,0,75
