DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2020/01/13 05:00:00+00,1220,1220,300 MIDLAND AV     ,POSSESSION/MARIJUANA,False,1
2020/01/03 05:00:00+00,245,245,1300 W  COLVIN ST     ,POSSESSION/MARIJUANA,False,2
2020/01/13 05:00:00+00,1249,1249,100 N  SALINA ST     ,POSSESSION/USE DRUG,False,3
2020/01/03 05:00:00+00,330,336,100 SEWARD ST     ,SIMPLE ASSAULT,True,4
2020/01/13 05:00:00+00,1312,1312,100 DUDLEY ST     ,POSSESSION/MARIJUANA,False,5
2020/01/13 05:00:00+00,1200,1328,400 SENECA DR     ,SIMPLE ASSAULT,True,6
2020/01/03 05:00:00+00,930,1004,200 WESTMORELAND AV     ,SIMPLE ASSAULT,True,7
2020/01/03 05:00:00+00,1030,1031,800 S  WILBUR AV     ,CRIMINAL MISCHIEF,False,8
2020/01/13 05:00:00+00,1330,1330,300 DELAWARE ST     ,ALL OTHER OFFENSES,False,9
2020/01/13 05:00:00+00,1434,1434,300 S  GEDDES ST     ,POSSESSION/USE DRUG,False,10
2020/01/03 05:00:00+00,1231,1231,300 WILKINSON ST     ,OFFN AGAINST FAMILY,True,11
2020/01/03 05:00:00+00,1500,1600,100 DELONG AV     ,CRIMINAL MISCHIEF,True,12
2020/01/13 05:00:00+00,1440,1446,100 VILLAGE DR     ,POSSESSION/USE DRUG,True,13
2020/01/13 05:00:00+00,1426,1440,200 MAGNOLIA ST     ,SIMPLE ASSAULT,False,14
2020/01/03 05:00:00+00,900,1649,1000 JAMES ST     ,SIMPLE ASSAULT,True,15
2020/01/13 05:00:00+00,900,1617,400 S  EDWARDS AV     ,OFFN AGAINST FAMILY,True,16
2020/01/13 05:00:00+00,1630,1644,700 N  ALVORD ST     ,CRIMINAL MISCHIEF,True,17
2020/01/03 05:00:00+00,1730,1730,500 S  SALINA ST     ,SIMPLE ASSAULT,False,18
2020/01/03 05:00:00+00,1200,1200,500 VINE ST     ,CRIMINAL MISCHIEF,True,19
2020/01/13 05:00:00+00,1729,1729,1500 SOUTH AV     ,POSSESSION/USE DRUG,False,20
2020/01/13 05:00:00+00,1740,1743,100 WARNER AV     ,CRIMINAL MISCHIEF,True,21
2020/01/03 05:00:00+00,1200,1730,1100 PARK ST     ,CRIMINAL MISCHIEF,True,22
2020/01/03 05:00:00+00,1805,1808,200 CRIPPEN AV     ,CRIMINAL MISCHIEF,True,23
2020/01/13 05:00:00+00,1751,1751,2100 E  FAYETTE ST     ,POSSESSION/USE DANGEROUS WEAPONS,False,24
2020/01/13 05:00:00+00,1905,1905,600 HELEN ST     ,SIMPLE ASSAULT,True,25
2020/01/03 05:00:00+00,1858,1859,100 HOOD AV     ,SIMPLE ASSAULT,True,26
2020/01/03 05:00:00+00,1916,1916,1600 GLENWOOD AV     ,SIMPLE ASSAULT,True,27
2020/01/13 05:00:00+00,1906,1906,300 ONTARIO ST     ,SIMPLE ASSAULT,True,28
2020/01/13 05:00:00+00,1915,1915,100 COLBY AV     ,SIMPLE ASSAULT,True,29
2020/01/03 05:00:00+00,1920,1920,1500 S  SALINA ST     ,SIMPLE ASSAULT,False,30
2020/01/03 05:00:00+00,2130,2139,300 ELM ST     ,SIMPLE ASSAULT,True,31
2020/01/13 05:00:00+00,1957,1957,200 W  BORDEN AV     ,SIMPLE ASSAULT,True,32
2020/01/03 05:00:00+00,2200,2203,200 WOODRUFF AV     ,CRIMINAL MISCHIEF,True,33
2020/01/13 05:00:00+00,2048,2048,600 W  ONONDAGA ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,34
2020/01/13 05:00:00+00,2200,2210,100 ELOISE TER    ,OFFN AGAINST FAMILY,True,35
2020/01/03 05:00:00+00,2200,2205,700 S  GEDDES ST     ,SIMPLE ASSAULT,True,36
2020/01/03 05:00:00+00,2331,2331,100 EDGEWOOD AV     ,SIMPLE ASSAULT,True,37
2020/01/13 05:00:00+00,1200,2333,1200 COURT ST     ,OFFN AGAINST FAMILY,True,38
2020/01/03 05:00:00+00,0,2359,800 PARK ST     ,CRIMINAL MISCHIEF,True,39
2020/01/03 05:00:00+00,804,800,200 W  BORDEN AV     ,SIMPLE ASSAULT,True,40
2020/01/13 05:00:00+00,1130,1130,400 S  CLINTON ST     ,POSSESSION/USE DRUG,False,41
2020/01/13 05:00:00+00,2136,2136,3100 S  SALINA ST     ,CRIMINAL MISCHIEF,True,42
2020/01/03 05:00:00+00,2350,2358,400 BURDICK AV     ,SIMPLE ASSAULT,True,43
2020/01/04 05:00:00+00,29,30,100 KIRKPATRICK ST     ,SIMPLE ASSAULT,True,44
2020/01/13 05:00:00+00,1500,1500,100 DICKERSON ST     ,OFFN AGAINST FAMILY,False,45
2020/01/14 05:00:00+00,4,4,100 BALLANTYNE RD     ,POSSESSION/USE DANGEROUS WEAPONS,True,46
2020/01/04 05:00:00+00,100,100,2700 S  SALINA ST     ,ALL OTHER OFFENSES,False,47
2020/01/04 05:00:00+00,223,222,500 BRYANT AV     ,OFFN AGAINST FAMILY,True,48
2020/01/14 05:00:00+00,140,140,200 LILAC ST     ,ALL OTHER OFFENSES,False,49
2020/01/14 05:00:00+00,155,155,200 CHAFFEE AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,50
2020/01/04 05:00:00+00,333,342,1800 S  SALINA ST     ,SIMPLE ASSAULT,True,51
2020/01/04 05:00:00+00,853,853,500 VALLEY DR     ,DRIVING UNDER INFLUENCE,True,52
2020/01/14 05:00:00+00,250,545,100 UNION AV     ,CRIMINAL MISCHIEF,True,53
2020/01/14 05:00:00+00,2200,658,200 WESTMORELAND AV     ,SIMPLE ASSAULT,True,54
