DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
2021/01/08 05:00:00+00,437,457,600 W  ONONDAGA ST     ,POSSESSION/MARIJUANA,False,1
2021/01/08 05:00:00+00,535,540,1000 DANFORTH ST     ,SIMPLE ASSAULT,True,2
2021/01/08 05:00:00+00,643,650,1400 S  SALINA ST     ,OFFN AGAINST FAMILY,True,3
2021/01/08 05:00:00+00,100,800,400 S  CLINTON ST     ,CRIMINAL MISCHIEF,True,4
2021/01/08 05:00:00+00,1215,1224,300 S  COLLINGWOOD AV     ,SIMPLE ASSAULT,True,5
2021/01/08 05:00:00+00,1253,1253,500 CATHERINE ST     ,ALL OTHER OFFENSES,True,6
2021/01/08 05:00:00+00,1423,1440,400 ERIE BLVD E ,ALL OTHER OFFENSES,False,7
2021/01/08 05:00:00+00,1440,1440,100 WALL ST     ,OFFN AGAINST FAMILY,True,8
2021/01/08 05:00:00+00,1519,1519,200 TURTLE ST     ,POSSESSION/USE DANGEROUS WEAPONS,True,9
2021/01/08 05:00:00+00,1522,1522,1500 CALEB AV     ,SIMPLE ASSAULT,True,10
2021/01/08 05:00:00+00,1617,1617,300 SOUTH AV     ,ALL OTHER OFFENSES,False,11
2021/01/08 05:00:00+00,1644,1644,100 DELAWARE ST     ,SIMPLE ASSAULT,True,12
2021/01/08 05:00:00+00,1652,1652,100 FITCH ST     ,POSSESSION/MARIJUANA,False,13
2021/01/08 05:00:00+00,1743,1743,500 SEYMOUR ST     ,POSSESSION/MARIJUANA,False,14
2021/01/08 05:00:00+00,1805,1805,700 W  ONONDAGA ST     ,POSSESSION/MARIJUANA,False,15
2021/01/08 05:00:00+00,1810,1810,1000 NORTHWAY ST     ,CRIMINAL MISCHIEF,True,16
2021/01/08 05:00:00+00,1823,1823,200 FITCH ST     ,POSSESSION/MARIJUANA,False,17
2021/01/08 05:00:00+00,1833,1850,100 MERRIMAN AV     ,POSSESSION/MARIJUANA,False,18
2021/01/08 05:00:00+00,1855,1921,100 BURT ST     ,POSSESSION/USE DANGEROUS WEAPONS,False,19
2021/01/08 05:00:00+00,2109,2109,100 ROSEMONT DR     ,SIMPLE ASSAULT,True,20
2021/01/08 05:00:00+00,2118,2118,400 SHONNARD ST     ,SIMPLE ASSAULT,True,21
2021/01/08 05:00:00+00,2222,2222,1800 E  FAYETTE ST     ,POSSESSION/MARIJUANA,False,22
2021/01/08 05:00:00+00,2316,2332,1100 CANNON ST     ,POSSESSION/MARIJUANA,False,23
2021/01/08 05:00:00+00,2340,2355,100 ELMHURST AV     ,POSSESSION/MARIJUANA,False,24
2021/01/09 05:00:00+00,208,208,300 BELLEVUE        ,CRIMINAL MISCHIEF,True,25
2021/01/09 05:00:00+00,1214,1214,100 FERNWOOD        ,SIMPLE ASSAULT,True,26
2021/01/09 05:00:00+00,1610,1619,100 MARIS DR     ,SIMPLE ASSAULT,True,27
2021/01/09 05:00:00+00,1621,1621,100 ELDORADO ST     ,SIMPLE ASSAULT,True,28
2021/01/09 05:00:00+00,1647,1647,100 MOONEY AV     ,SIMPLE ASSAULT,True,29
2021/01/09 05:00:00+00,1706,1925,2100 S  GEDDES ST     ,POSSESSION/MARIJUANA,False,30
2021/01/09 05:00:00+00,1707,1724,600 SEYMOUR ST     ,POSSESSION/MARIJUANA,False,31
2021/01/09 05:00:00+00,1746,1746,500 TALLMAN ST     ,POSSESSION/MARIJUANA,False,32
2021/01/09 05:00:00+00,1800,1828,100 LAWRENCE ST     ,OFFN AGAINST FAMILY,True,33
2021/01/09 05:00:00+00,1859,1859,1200 AVERY AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,34
2021/01/09 05:00:00+00,1942,1958,2000 E  FAYETTE ST     ,POSSESSION/MARIJUANA,False,35
2021/01/09 05:00:00+00,2057,2057,200 HARTSON ST     ,CRIMINAL MISCHIEF,True,36
2021/01/09 05:00:00+00,2158,2215,600 DAKIN ST     ,POSSESSION/MARIJUANA,False,37
2021/01/09 05:00:00+00,2228,2228,200 MARTIN LUTHER KING      W ,POSSESSION/MARIJUANA,False,38
2021/01/09 05:00:00+00,2304,2304,100 MCKINLEY AV     ,SIMPLE ASSAULT,False,39
2021/01/09 05:00:00+00,2355,2355,1200 TEALL        ,FRAUD,True,40
2021/01/09 05:00:00+00,2000,2013,1 DESTINY USA DR,CRIMINAL MISCHIEF,True,41
2021/01/09 05:00:00+00,1800,800,3000 BURNET AV     ,CRIMINAL MISCHIEF,False,42
2021/01/09 05:00:00+00,1200,1200,1300 DANFORTH ST     ,FORGERY/COUNTERFEIT,True,43
2021/01/10 05:00:00+00,38,42,200 WARNER AV     ,CRIMINAL MISCHIEF,True,44
2021/01/10 05:00:00+00,128,128,700 W  BRIGHTON AV     ,POSSESSION/USE DANGEROUS WEAPONS,True,45
2021/01/10 05:00:00+00,303,303,300 KELLOGG ST     ,SIMPLE ASSAULT,True,46
2021/01/10 05:00:00+00,525,525,300 HUBBELL AV     ,CRIMINAL MISCHIEF,True,47
2021/01/10 05:00:00+00,615,615,300 ROBINSON ST     ,CRIMINAL MISCHIEF,True,48
2021/01/10 05:00:00+00,630,630,200 PARK ST     ,CRIMINAL MISCHIEF,True,49
2021/01/10 05:00:00+00,930,935,800 DANFORTH ST     ,SIMPLE ASSAULT,True,50
2021/01/02 05:00:00+00,1825,1845,500 SEYMOUR ST     ,POSSESSION/MARIJUANA,False,51
2021/01/02 05:00:00+00,2100,2107,300 AUDUBON PKWY   ,OFFN AGAINST FAMILY,True,52
2021/01/02 05:00:00+00,2150,2155,600 SUMMIT AV     ,CRIMINAL MISCHIEF,True,53
2021/01/02 05:00:00+00,2247,2247,3200 S  SALINA ST     ,SIMPLE ASSAULT,True,54
2021/01/02 05:00:00+00,2253,2253,100 LATIMER TER    ,POSSESSION/MARIJUANA,False,55
2021/01/03 05:00:00+00,30,56,100 ENGLEWOOD AV     ,OFFN AGAINST FAMILY,True,56
2021/01/03 05:00:00+00,100,101,200 PARK ST     ,SIMPLE ASSAULT,True,57
