DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,Arrest,LarcenyCode,ObjectID
2021/06/28 00:00:00+00,2332,2332,0 AIRPORT BOULEVARD NORTH        ,LARCENY,,All Other,1
2021/01/17 00:00:00+00,0228,0228,0 BRADFORD CT     ,BURGLARY,,N/A,2
2021/07/27 00:00:00+00,0700,0700,0 BRADFORD CT     ,AGGRAVATED ASSAULT,Yes,N/A,3
2021/08/27 00:00:00+00,0530,0530,0 BRATTLE RD     ,LARCENY,Yes,All Other,4
2021/04/02 00:00:00+00,1004,1004,0 BRATTLE RD     ,LARCENY,,From Motor Vehicle,5
2021/10/05 00:00:00+00,0649,0649,0 BRATTLE RD     ,BURGLARY,,N/A,6
2021/07/26 00:00:00+00,1215,1215,0 BUTTERNUT ST     ,LARCENY,,All Other,7
2021/01/11 00:00:00+00,1610,1123,0 BUTTERNUT ST & LODI ST        ,LARCENY,,All Other,8
2021/01/10 00:00:00+00,1458,1458,0 CENTENNIAL DR     ,ROBBERY,Yes,All Other,9
2021/11/01 00:00:00+00,1400,1430,0 CENTENNIAL DR     ,LARCENY,,From Building,10
2021/05/13 00:00:00+00,1430,1515,0 CENTENNIAL DR     ,LARCENY,,All Other,11
2021/03/09 00:00:00+00,1200,1200,0 CENTENNIAL DR     ,LARCENY,,From Motor Vehicle,12
2021/03/12 00:00:00+00,1000,1000,0 CENTENNIAL DR     ,LARCENY,,From Motor Vehicle,13
2021/07/27 00:00:00+00,1730,1730,0 CENTENNIAL DR     ,LARCENY,,From Building,14
2021/10/19 00:00:00+00,1150,1150,0 CENTENNIAL DR     ,LARCENY,,All Other,15
2021/06/21 00:00:00+00,2200,0605,0 CENTENNIAL DR     ,LARCENY,,From Motor Vehicle,16
2021/01/09 00:00:00+00,2115,2115,0 CENTENNIAL DR     ,ROBBERY,,All Other,17
2021/05/20 00:00:00+00,2235,2240,0 CENTENNIAL DR     ,AGGRAVATED ASSAULT,Yes,N/A,18
2021/05/03 00:00:00+00,1000,1630,0 CENTENNIAL DR     ,LARCENY,,From Motor Vehicle,19
2021/09/06 00:00:00+00,0630,0630,0 CENTENNIAL DR     ,BURGLARY,Yes,All Other,20
2021/06/12 00:00:00+00,1358,1358,0 CENTNNIAL DR     ,LARCENY,,From Mailbox,21
2021/12/03 00:00:00+00,1750,1800,0 CORCORAN CT     ,LARCENY,,All Other,22
2021/08/03 00:00:00+00,1200,1400,0 CORCORAN CT     ,LARCENY,,All Other,23
2021/03/08 00:00:00+00,0120,0120,0 DRISCOLL AVE & AVERY AVE        ,LARCENY,,From Motor Vehicle,24
2021/04/10 00:00:00+00,0030,0030,0 E  FAYETTE ST     ,AGGRAVATED ASSAULT,,N/A,25
2021/08/13 00:00:00+00,2000,2000,0 E  TAYLOR ST     ,AGGRAVATED ASSAULT,Yes,N/A,26
2021/08/01 00:00:00+00,0000,0300,0 E ADAMS ST & S CROUSE AVE        ,LARCENY,,From Motor Vehicle,27
2021/04/29 00:00:00+00,1310,1350,0 E GENESEE ST & S CROUSE AVE        ,LARCENY,,Of MV Parts/Accessories,28
2021/10/30 00:00:00+00,1700,2250,0 E JEFFERSON ST & S WARREN ST        ,LARCENY,,From Motor Vehicle,29
2021/10/05 00:00:00+00,0256,0256,0 E LAUREL ST & LODI ST        ,AGGRAVATED ASSAULT,Yes,,30
2021/07/02 00:00:00+00,0000,0130,0 E WASHINGTON ST & S WARREN ST        ,LARCENY,,All Other,31
2021/10/11 00:00:00+00,0700,1700,0 FORESTRY DR     ,LARCENY,,From Motor Vehicle,32
2021/03/08 00:00:00+00,0044,0044,0 GRAND AVE & DELAWARE ST                                                            ,AGGRAVATED ASSAULT,,N/A,33
2021/08/07 00:00:00+00,0400,0400,0 GREEN ST     ,LARCENY,,Purse Snatch,34
2021/11/06 00:00:00+00,1400,1735,0 HARBORSIDE DR     ,LARCENY,,From Motor Vehicle,35
2021/09/28 00:00:00+00,1653,1653,0 HARBORSIDE DR     ,MV THEFT,,Motor Vehicle,36
2021/12/17 00:00:00+00,1730,1920,0 HARBORSIDE DR     ,MV THEFT,,Motor Vehicle,37
2021/12/21 00:00:00+00,1300,1402,0 HARBORSIDE DR     ,MV THEFT,,Motor Vehicle,38
2021/09/17 00:00:00+00,1600,1800,0 HARBORSIDE DR     ,MV THEFT,,Motor Vehicle,39
2021/09/17 00:00:00+00,1600,1800,0 HARBORSIDE DR     ,MV THEFT,Yes,Motor Vehicle,40
2021/12/20 00:00:00+00,1156,1156,0 HARBORSIDE DR     ,AGGRAVATED ASSAULT,Yes,,41
2021/06/25 00:00:00+00,1600,1800,0 HARBORSIDE DR     ,LARCENY,,All Other,42
2021/12/11 00:00:00+00,1530,1800,0 HARBORSIDE DR     ,MV THEFT,,Of MV Parts/Accessories,43
2021/04/28 00:00:00+00,1923,1923,0 HARBORSIDE DR     ,LARCENY,Yes,Shoplifting,44
2021/12/10 00:00:00+00,1655,1705,0 HARBORSIDE DR     ,LARCENY,,All Other,45
2021/06/21 00:00:00+00,0242,0242,0 HARTSON ST     ,AGGRAVATED ASSAULT,,N/A,46
2021/12/12 00:00:00+00,0028,0028,0 I 81 SB        ,AGGRAVATED ASSAULT,Yes,N/A,47
2021/05/05 00:00:00+00,1730,1730,0 I81      S ,AGGRAVATED ASSAULT,,N/A,48
2021/01/12 00:00:00+00,0930,0930,0 KINGSLEY PL     ,LARCENY,Yes,,49
2021/01/17 00:00:00+00,2350,2350,0 KIRKPATRICK ANDCARBON ST     ,LARCENY,Yes,From Motor Vehicle,50
2021/05/03 00:00:00+00,2300,1000,0 MAXWELL CT     ,LARCENY,,From Motor Vehicle,51
2021/07/25 00:00:00+00,2030,0830,0 MAXWELL CT     ,MV THEFT,,Motor Vehicle,52
2021/10/29 00:00:00+00,1400,2309,0 MAXWELL CT     ,BURGLARY,,From Building,53
2021/04/07 00:00:00+00,1600,1200,0 MT OLYMPUS DR     ,LARCENY,,All Other,54
2021/08/02 00:00:00+00,2330,0015,0 OAK ST AND LODI ST     ,ROBBERY,Yes,All Other,55
2021/04/10 00:00:00+00,2115,2115,0 OAKDALE CT     ,BURGLARY,Yes,All Other,56
2021/05/25 00:00:00+00,2030,0155,0 PRESIDENTIAL CT     ,LARCENY,,From Motor Vehicle,57
2021/07/27 00:00:00+00,1000,2245,0 PRESIDENTIAL CT     ,LARCENY,,All Other,58
2021/08/04 00:00:00+00,0900,1837,0 PRESIDENTIAL PLZ    ,LARCENY,,From Motor Vehicle,59
2021/12/14 00:00:00+00,2200,1730,0 PRESIDENTIAL PLZ    ,LARCENY,,From Motor Vehicle,60
2021/11/19 00:00:00+00,0630,2000,0 PRESIDENTIAL PLZ    ,BURGLARY,,From Building,61
2021/09/30 00:00:00+00,1215,1215,0 PRESIDENTIAL PLZ    ,LARCENY,,From Motor Vehicle,62
2021/02/10 00:00:00+00,1430,0630,0 PRESIDENTIAL PLZ    ,LARCENY,,From Building,63
2021/02/07 00:00:00+00,0623,0623,0 PUTNAM ST     ,BURGLARY,,N/A,64
2021/07/20 00:00:00+00,1841,1841,0 ROBERTS ST & KIRKVILLE RD                                                          ,ROBBERY,,,65
2021/09/15 00:00:00+00,1730,1945,0 S  CLINTON ST     ,LARCENY,,From Motor Vehicle,66
2021/05/26 00:00:00+00,1500,1520,0 S CLINTON ST & W ONONDAGA ST                                                       ,LARCENY,,From Motor Vehicle,67
2021/03/25 00:00:00+00,1210,1210,0 S WEST ST & W ONONDAGA ST                                                          ,LARCENY,,Motor Vehicle,68
2021/05/28 00:00:00+00,2300,2300,0 SCHOENECK CT     ,BURGLARY,,N/A,69
2021/07/20 00:00:00+00,1735,1735,0 SEWARD ST & S ALVORD ST                                                            ,AGGRAVATED ASSAULT,,N/A,70
2021/06/19 00:00:00+00,1640,1640,0 SOUTH AT EXIT 17        ,AGGRAVATED ASSAULT,Yes,N/A,71
2021/12/30 00:00:00+00,1802,1802,0 STONE CT     ,AGGRAVATED ASSAULT,,N/A,72
2021/12/28 00:00:00+00,1949,1949,0 STONE CT     ,AGGRAVATED ASSAULT,,N/A,73
2021/06/29 00:00:00+00,2204,2204,0 TALLMAN ST & S SALINA ST                                                           ,AGGRAVATED ASSAULT,,N/A,74
2021/08/21 00:00:00+00,2300,2300,0 UNKNOWN        ,AGGRAVATED ASSAULT,,N/A,75
2021/08/27 00:00:00+00,1438,1438,0 UNKNOWN        ,AGGRAVATED ASSAULT,,N/A,76
2021/12/11 00:00:00+00,1150,1150,0 UNKNOWN        ,AGGRAVATED ASSAULT,,N/A,77
2021/11/08 00:00:00+00,0900,1600,0 UNKNOWN        ,LARCENY,,Purse Snatch,78
2021/04/25 00:00:00+00,1530,1530,0 UNKNOWN        ,MV THEFT,,Motor Vehicle,79
2021/09/24 00:00:00+00,0915,0916,0 VALLEY DR & W SENECA TPKE                                                          ,LARCENY,,From Motor Vehicle,80
2021/06/08 00:00:00+00,1944,1944,0 W BRIGHTON AVE & MIDLAND AVE                                                       ,LARCENY,Yes,,81
2021/05/05 00:00:00+00,1730,1000,0 W MATSON AVE AND MIDLAND        ,LARCENY,,From Motor Vehicle,82
2021/05/22 00:00:00+00,2240,2240,0 WALL ST AND PARK AVE        ,AGGRAVATED ASSAULT,,N/A,83
2021/03/23 00:00:00+00,1548,1548,0 WALSH CIR    ,ROBBERY,Yes,All Other,84
2021/11/08 00:00:00+00,1744,1744,0 WEBSTERS LNDG   ,LARCENY,Yes,,85
2021/02/10 00:00:00+00,1900,2330,0 WILL CT     ,AGGRAVATED ASSAULT,Yes,N/A,86
2021/05/19 00:00:00+00,2351,2351,0 WILL CT     ,LARCENY,Yes,All Other,87
2021/02/26 00:00:00+00,1520,1545,1 DESTINY USA DR,LARCENY,,Shoplifting,88
2021/05/14 00:00:00+00,1807,1807,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,89
2021/04/01 00:00:00+00,1935,0900,1 DESTINY USA DR,LARCENY,,From Coin Operated Machine/Device,90
2021/01/23 00:00:00+00,2009,2009,1 DESTINY USA DR,AGGRAVATED ASSAULT,,N/A,91
2021/04/01 00:00:00+00,1715,1715,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,92
2021/06/26 00:00:00+00,1220,1220,1 DESTINY USA DR,LARCENY,,Shoplifting,93
2021/06/16 00:00:00+00,1600,2000,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,94
2021/12/03 00:00:00+00,1200,1430,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,95
2021/10/18 00:00:00+00,1821,1821,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,96
2021/12/03 00:00:00+00,1830,1835,1 DESTINY USA DR,LARCENY,,Of MV Parts/Accessories,97
2021/04/06 00:00:00+00,1130,1130,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,98
2021/02/16 00:00:00+00,1400,1600,1 DESTINY USA DR,LARCENY,,Shoplifting,99
2021/10/28 00:00:00+00,1845,2330,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,100
2021/01/15 00:00:00+00,1241,1241,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,101
2021/08/09 00:00:00+00,1519,1519,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,102
2021/06/14 00:00:00+00,1820,1900,1 DESTINY USA DR,LARCENY,,All Other,103
2021/01/25 00:00:00+00,0300,0335,1 DESTINY USA DR,BURGLARY,,N/A,104
2021/09/28 00:00:00+00,1515,1530,1 DESTINY USA DR,LARCENY,,From Motor Vehicle,105
2021/03/16 00:00:00+00,1500,1500,1 DESTINY USA DR,LARCENY,,Shoplifting,106
2021/09/20 00:00:00+00,1855,1855,1 DESTINY USA DR,LARCENY,,All Other,107
2021/01/13 00:00:00+00,1542,1542,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,108
2021/12/12 00:00:00+00,2000,2225,1 DESTINY USA DR,LARCENY,,All Other,109
2021/12/02 00:00:00+00,1528,1528,1 DESTINY USA DR,LARCENY,Yes,,110
2021/01/13 00:00:00+00,1820,1820,1 DESTINY USA DR,LARCENY,Yes,,111
2021/04/01 00:00:00+00,1823,1823,1 DESTINY USA DR,LARCENY,,Shoplifting,112
2021/08/31 00:00:00+00,1200,1210,1 DESTINY USA DR,LARCENY,,Shoplifting,113
2021/08/31 00:00:00+00,1500,1500,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,114
2021/06/15 00:00:00+00,1121,1123,1 DESTINY USA DR,LARCENY,,Shoplifting,115
2021/01/13 00:00:00+00,1205,1220,1 DESTINY USA DR,LARCENY,,Shoplifting,116
2021/09/21 00:00:00+00,1454,1454,1 DESTINY USA DR,LARCENY,,From Building,117
2021/12/11 00:00:00+00,1926,1926,1 DESTINY USA DR,LARCENY,Yes,,118
2021/12/02 00:00:00+00,1520,1520,1 DESTINY USA DR,BURGLARY,Yes,Shoplifting,119
2021/02/19 00:00:00+00,2111,2111,1 DESTINY USA DR,AGGRAVATED ASSAULT,,N/A,120
2021/08/28 00:00:00+00,1943,1943,1 DESTINY USA DR,LARCENY,Yes,Shoplifting,121
