DATEEND,TIMESTART,TIMEEND,ADDRESS,CODE DEFINED,QualityOfLife,ObjectID
4/27/1995 12:00:00 AM,1130,1135,100 RIGI,SIMPLE ASSAULT,0,166438
3/5/2001 12:00:00 AM,0000,0000,700 ERIE BLVD E,FRAUD,0,166439
5/28/2001 12:00:00 AM,1143,1143,1600 HAWLEY,SIMPLE ASSAULT,0,166440
1/1/2012 12:00:00 AM,0000,0000,900 JAMES ST,FRAUD,0,166441
1/1/2012 12:00:00 AM,0700,0700,1100 WESTMORELAND,CRIMINAL MISCHIEF,0,166442
1/1/2013 12:00:00 AM,0000,0000,2400 BELLEVUE,OFFN AGAINST FAMILY,0,166443
10/1/2019 12:00:00 AM,0030,2359,100 HICKOK,FRAUD,0,166444
11/29/2019 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166445
12/1/2019 12:00:00 AM,1300,1300,3300 JAMES ST,FRAUD,0,166446
2/29/2020 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166447
3/1/2020 12:00:00 AM,0000,0000,300 SCOTTHOLM TER,FRAUD,0,166448
1/1/2021 12:00:00 AM,1200,1200,900 POND ST,FRAUD,0,166449
1/3/2021 12:00:00 AM,2200,2219,100 REMINGTON AVE,POSSESSION/USE DRUG,0,166450
1/17/2021 12:00:00 AM,2300,2304,200 MOORE,SIMPLE ASSAULT,0,166451
2/1/2021 12:00:00 AM,0800,0800,200 BARRETT ST,FRAUD,0,166452
2/24/2021 12:00:00 AM,0304,0304,100 LINWILL TER,CRIMINAL MISCHIEF,1,166453
4/9/2021 12:00:00 AM,0102,0102,100 WIMAN,ALL OTHER OFFENSES,1,166454
4/9/2021 12:00:00 AM,1642,1642,700 N  ALVORD ST,ALL OTHER OFFENSES,0,166455
5/8/2021 12:00:00 AM,0845,0845,2100 S  GEDDES ST,CRIMINAL MISCHIEF,1,166456
5/18/2021 12:00:00 AM,1200,1200,200 KENMORE,FRAUD,0,166457
6/3/2021 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166458
6/14/2021 12:00:00 AM,0142,0142,100 BALLANTYNE RD,CRIMINAL MISCHIEF,1,166459
6/21/2021 12:00:00 AM,0000,2359,900 JAMES ST,FRAUD,0,166460
7/31/2021 12:00:00 AM,1100,1105,700 E  BRIGHTON,SIMPLE ASSAULT,0,166461
9/21/2021 12:00:00 AM,1200,1200,4500 S  SALINA ST,FRAUD,0,166462
10/22/2021 12:00:00 AM,0000,2359,700 BUTTERNUT ST,FORGERY/COUNTERFEIT,0,166463
10/23/2021 12:00:00 AM,0602,0602,300 CATHERINE ST,POSSESSION/USE DANGEROUS WEAPONS,0,166464
11/1/2021 12:00:00 AM,1200,1200,200 MAGNOLIA ST,OFFN AGAINST FAMILY,0,166465
11/1/2021 12:00:00 AM,0900,0900,200 MOORE,FRAUD,0,166466
11/4/2021 12:00:00 AM,0930,0930,200 SACKETT ST,POSSESSION/USE DANGEROUS WEAPONS,0,166467
11/18/2021 12:00:00 AM,1200,1200,1300 NORTHCLIFFE RD,FRAUD,0,166468
11/18/2021 12:00:00 AM,1500,1500,1300 N  SALINA ST,OFFN AGAINST FAMILY,0,166469
12/2/2021 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166470
12/7/2021 12:00:00 AM,1430,1530,100 DICKERSON ST,SIMPLE ASSAULT,0,166471
12/12/2021 12:00:00 AM,2157,1717,100 W  FAYETTE ST,OFFN AGAINST FAMILY,0,166472
12/14/2021 12:00:00 AM,1845,1845,1000 CANAL ST,UNAUTHORIZED USE MV,0,166473
12/17/2021 12:00:00 AM,0100,0700,3100 JAMES ST,STOLEN PROPERTY,0,166474
12/17/2021 12:00:00 AM,0100,0700,3100 JAMES ST,STOLEN PROPERTY,0,166475
12/21/2021 12:00:00 AM,1500,1500,500 S  STATE ST,OFFN AGAINST FAMILY,0,166476
12/23/2021 12:00:00 AM,1830,1903,700 JAMES ST,FRAUD,0,166477
12/23/2021 12:00:00 AM,2230,2230,100 BEATTIE ST,OFFN AGAINST FAMILY,0,166478
12/28/2021 12:00:00 AM,1500,1500,300 E  WASHINGTON ST,OFFN AGAINST FAMILY,0,166479
12/28/2021 12:00:00 AM,2000,2000,0 RENWICK,SIMPLE ASSAULT,0,166480
12/29/2021 12:00:00 AM,0000,0955,200 OSTROM AVE,CRIMINAL MISCHIEF,0,166481
12/29/2021 12:00:00 AM,0005,0030,700 W  GENESEE ST,CRIMINAL MISCHIEF,0,166482
12/31/2021 12:00:00 AM,2135,2135,100 SEYMOUR ST,CRIMINAL MISCHIEF,0,166483
1/1/2022 12:00:00 AM,0052,0052,400 S  CLINTON ST,ALL OTHER OFFENSES,0,166484
1/1/2022 12:00:00 AM,0119,0119,300 N  SALINA ST,SIMPLE ASSAULT,0,166485
1/1/2022 12:00:00 AM,0144,0144,800 E  BRIGHTON,SIMPLE ASSAULT,0,166486
1/1/2022 12:00:00 AM,0219,0219,400 SEYMOUR ST,POSSESSION/USE DANGEROUS WEAPONS,0,166487
1/1/2022 12:00:00 AM,0321,0321,100 SPRING ST,POSSESSION/USE DANGEROUS WEAPONS,0,166488
1/1/2022 12:00:00 AM,0520,0523,100 JOSEPHINE ST,SIMPLE ASSAULT,0,166489
1/1/2022 12:00:00 AM,0540,0540,300 HERBERT ST,SIMPLE ASSAULT,0,166490
1/1/2022 12:00:00 AM,0640,0640,100 SMITH LN,SIMPLE ASSAULT,1,166491
1/1/2022 12:00:00 AM,1200,0900,200 GRANT BLVD,OFFN AGAINST FAMILY,0,166492
1/1/2022 12:00:00 AM,2207,1305,300 SEYMOUR ST,SIMPLE ASSAULT,0,166493
1/1/2022 12:00:00 AM,1230,1230,1 DESTINY USA DR,SIMPLE ASSAULT,0,166494
1/1/2022 12:00:00 AM,0451,0451,1200 AVERY,CRIMINAL MISCHIEF,1,166495
1/1/2022 12:00:00 AM,1350,1355,100 BERTRAM PL,SIMPLE ASSAULT,0,166496
1/1/2022 12:00:00 AM,1449,1449,200 W  NEWELL ST,SIMPLE ASSAULT,0,166497
1/1/2022 12:00:00 AM,1637,1637,200 W  LAFAYETTE AVE,POSSESSION/USE DANGEROUS WEAPONS,0,166498
1/1/2022 12:00:00 AM,1708,1708,0 COSTELLO CT,CRIMINAL MISCHIEF,0,166499
1/1/2022 12:00:00 AM,2046,2046,200 ROCKLAND,SIMPLE ASSAULT,0,166500
1/1/2022 12:00:00 AM,0255,1455,1500 WESTMORELAND AVE,CRIMINAL MISCHIEF,0,166501
1/2/2022 12:00:00 AM,0224,0224,100 E  ONONDAGA ST,SIMPLE ASSAULT,0,166502
1/2/2022 12:00:00 AM,0325,0326,100 MAPLE TER,SIMPLE ASSAULT,0,166503
1/2/2022 12:00:00 AM,0357,0357,200 GRIFFITHS ST,ALL OTHER OFFENSES,0,166504
1/2/2022 12:00:00 AM,0510,0516,100 MCKINLEY AVE,CRIMINAL MISCHIEF,0,166505
1/2/2022 12:00:00 AM,0630,0659,400 W  LAFAYETTE,SIMPLE ASSAULT,0,166506
1/2/2022 12:00:00 AM,1001,1001,200 GENESEE PARK DR,SIMPLE ASSAULT,0,166507
1/2/2022 12:00:00 AM,1422,1422,800 DANFORTH ST,SIMPLE ASSAULT,0,166508
1/2/2022 12:00:00 AM,1400,1522,300 RANDOLPH ST,CRIMINAL MISCHIEF,0,166509
1/2/2022 12:00:00 AM,1911,1911,100 GRAND,SIMPLE ASSAULT,0,166510
1/2/2022 12:00:00 AM,2254,2254,100 FILMORE,SIMPLE ASSAULT,0,166511
1/2/2022 12:00:00 AM,1530,2040,1 DESTINY USA DR,CRIMINAL MISCHIEF,0,166512
1/3/2022 12:00:00 AM,0222,0222,800 LODI ST,DRIVING UNDER INFLUENCE,0,166513
1/3/2022 12:00:00 AM,0527,0527,100 PARKWAY DR,SIMPLE ASSAULT,0,166514
1/3/2022 12:00:00 AM,0623,0623,1200 E  COLVIN ST,CRIMINAL MISCHIEF,0,166515
1/3/2022 12:00:00 AM,1026,1026,500 VALLEY DR,OFFN AGAINST FAMILY,0,166516
1/3/2022 12:00:00 AM,1212,1212,600 ROBINSON ST,SIMPLE ASSAULT,0,166517
1/3/2022 12:00:00 AM,1337,1337,2600 S  SALINA ST,CRIMINAL MISCHIEF,1,166518
1/3/2022 12:00:00 AM,1359,1400,500 S  STATE ST,SIMPLE ASSAULT,0,166519
1/3/2022 12:00:00 AM,1506,1500,1100 S  TOWNSEND ST,CRIMINAL MISCHIEF,0,166520
1/3/2022 12:00:00 AM,1551,1551,1600 E  GENESEE ST,FRAUD,0,166521
1/3/2022 12:00:00 AM,2235,2236,100 UPLAND RD,SIMPLE ASSAULT,0,166522
1/3/2022 12:00:00 AM,2327,2324,1000 W  FAYETTE ST,SIMPLE ASSAULT,0,166523
1/4/2022 12:00:00 AM,0130,0120,2200 E  GENESEE ST,CRIMINAL MISCHIEF,0,166524
1/4/2022 12:00:00 AM,0141,0141,100 S  COLLINGWOOD AVE,SIMPLE ASSAULT,0,166525
1/4/2022 12:00:00 AM,0230,0238,2400 LODI ST,OFFN AGAINST FAMILY,0,166526
1/4/2022 12:00:00 AM,0755,0759,200 DELAWARE ST,SIMPLE ASSAULT,0,166527
1/4/2022 12:00:00 AM,1800,0821,300 W  KIRKPATRICK ST,CRIMINAL MISCHIEF,1,166528
1/4/2022 12:00:00 AM,1120,0900,700 ERIE BLVD E,UNAUTHORIZED USE MV,0,166529
1/4/2022 12:00:00 AM,0858,0858,100 WOODBURY AVE,POSSESSION/USE DRUG,0,166530
1/4/2022 12:00:00 AM,1100,1100,200 MERRIMAN,SIMPLE ASSAULT,0,166531
1/4/2022 12:00:00 AM,1433,1433,400 GLENWOOD,CRIMINAL MISCHIEF,1,166532
1/4/2022 12:00:00 AM,1434,1434,200 GENESEE PARK DR,SIMPLE ASSAULT,0,166533
1/4/2022 12:00:00 AM,2000,2000,100 EUREKA ST,SIMPLE ASSAULT,0,166534
1/4/2022 12:00:00 AM,1610,1607,400 JAMES ST,OFFN AGAINST FAMILY,0,166535
1/4/2022 12:00:00 AM,1500,1500,300 E  WASHINGTON ST,OFFN AGAINST FAMILY,0,166536
