DATE,TIMESTART,TIMEEND,ADDRESS,CODE_DEFINED,QualityOfLife,FID
1997/02/27 05:00:00+00,1607,1607,200 VILLAGE DR,POSSESSION/MARIJUANA,False,1
2011/01/31 05:00:00+00,1200,1200,100 MINERVA ST,FRAUD,False,2
2014/01/01 05:00:00+00,0,0,1600 W  ONONDAGA ST,FRAUD,False,3
2014/06/19 04:00:00+00,630,845,300 MIDLAND AV,SIMPLE ASSAULT,False,4
2014/08/09 04:00:00+00,2200,2232,100 MALCOLM AV,SIMPLE ASSAULT,False,5
2014/10/24 04:00:00+00,1227,1340,1000 FIRST NORTH ST,POSSESSION/MARIJUANA,True,6
2014/11/03 05:00:00+00,2200,2240,2500 ERIE BLVD E,CRIMINAL MISCHIEF,True,7
2015/01/31 05:00:00+00,1200,1200,500 LYELL AV,FRAUD,False,8
2015/03/22 04:00:00+00,915,915,100 RONEY LN,SIMPLE ASSAULT,False,9
2015/07/18 04:00:00+00,1538,1538,700 WESTMORELAND AVE,POSSESSION/USE DRUG,False,10
2015/10/11 04:00:00+00,2315,215,100 S  WEST ST,CRIMINAL MISCHIEF,True,11
2015/11/10 05:00:00+00,1200,1200,600 BEATTIE ST,FRAUD,False,12
2016/01/01 05:00:00+00,1025,1800,200 CARBON ST,SIMPLE ASSAULT,False,13
2016/01/04 05:00:00+00,1200,1200,300 BURNET AV,FRAUD,False,14
2016/01/07 05:00:00+00,2143,2143,400 POND ST,SIMPLE ASSAULT,False,15
2016/01/07 05:00:00+00,2314,2314,100 W  FLORENCE AV,POSSESSION/MARIJUANA,False,16
2016/01/23 05:00:00+00,1100,1100,100 MILTON AV,SEX OFFENSES,False,17
2016/01/27 05:00:00+00,1045,1115,100 SMITH LN,SIMPLE ASSAULT,False,18
2016/03/04 05:00:00+00,646,646,1700 S  SALINA ST,SIMPLE ASSAULT,True,19
2016/03/24 04:00:00+00,2336,2356,300 S  GEDDES ST,POSSESSION/MARIJUANA,False,20
2016/04/01 04:00:00+00,1213,1213,100 MARY ST,SIMPLE ASSAULT,False,21
2016/04/17 04:00:00+00,2025,2025,1000 VALLEY DR,CRIMINAL MISCHIEF,True,22
2016/06/15 04:00:00+00,336,400,0 KIRKPATRICK @ N. ALV ST,ALL OTHER OFFENSES,True,23
2016/06/28 04:00:00+00,1109,1109,400 MONTGOMERY ST,FORGERY/COUNTERFEIT,False,24
2016/07/22 04:00:00+00,2206,2206,200 W  NEWELL ST,POSSESSION/USE DANGEROUS WEAPONS,True,25
2016/09/02 04:00:00+00,0,0,200 COLUMBUS AV,FRAUD,False,26
2016/11/18 05:00:00+00,900,900,100 HIXSON AV,FRAUD,False,27
2016/12/01 05:00:00+00,1600,1600,600 PARK ST,SEX OFFENSES,False,28
2016/12/29 05:00:00+00,922,922,1200 TEALL AV,OFFN AGAINST FAMILY,False,29
2016/12/31 05:00:00+00,2300,2300,100 STEDMAN ST,CRIMINAL MISCHIEF,True,30
2017/01/01 05:00:00+00,308,308,4400 S  SALINA ST,ALL OTHER OFFENSES,True,31
2017/01/01 05:00:00+00,314,314,300 ELLIOTT ST,SIMPLE ASSAULT,False,32
2017/01/01 05:00:00+00,453,453,1100 SPRING ST,ALL OTHER OFFENSES,True,33
2017/01/01 05:00:00+00,100,100,600 N  SALINA ST,OFFN AGAINST FAMILY,False,34
2017/01/01 05:00:00+00,510,510,200 MCKINLEY AV,POSSESSION/USE DANGEROUS WEAPONS,True,35
2017/01/01 05:00:00+00,430,516,100 CULBERT ST,CRIMINAL MISCHIEF,True,36
2017/01/01 05:00:00+00,903,903,700 MOUNTAINVIEW AV,OFFN AGAINST FAMILY,False,37
2017/01/01 05:00:00+00,1017,1018,200 BRYANT AV,SIMPLE ASSAULT,False,38
2017/01/01 05:00:00+00,1104,1100,200 GRUMBACH AV,SIMPLE ASSAULT,False,39
2017/01/01 05:00:00+00,2200,1330,700 PARK AV,CRIMINAL MISCHIEF,True,40
2017/01/01 05:00:00+00,1916,1916,0 BALLANTYNE RD,POSSESSION/MARIJUANA,False,41
2017/01/01 05:00:00+00,1920,1920,200 PHARIS ST,POSSESSION/MARIJUANA,False,42
2017/01/01 05:00:00+00,2025,2025,3100 GRANT BLVD,POSSESSION/USE DANGEROUS WEAPONS,True,43
2017/01/01 05:00:00+00,2039,2210,1000 SPRING ST,SIMPLE ASSAULT,False,44
2017/01/01 05:00:00+00,2306,2306,800 N  STATE ST,CRIMINAL MISCHIEF,True,45
2017/01/01 05:00:00+00,1425,1425,500 GARFIELD AV,CRIMINAL MISCHIEF,True,46
2017/01/02 05:00:00+00,230,234,200 BEATTIE ST,SIMPLE ASSAULT,False,47
2017/01/02 05:00:00+00,300,339,300 CANNON ST,SIMPLE ASSAULT,False,48
2017/01/02 05:00:00+00,700,710,1500 BURNET AV,OFFN AGAINST FAMILY,False,49
2017/01/02 05:00:00+00,1450,1450,800 PARK ST,SIMPLE ASSAULT,False,50
2017/01/02 05:00:00+00,1619,1619,200 CRESCENT AV,CRIMINAL MISCHIEF,False,51
2017/01/02 05:00:00+00,1655,1655,0 W  COLVIN ST,POSSESSION/USE DRUG,False,52
2017/01/02 05:00:00+00,1658,1658,0 MASSENA ST,POSSESSION/MARIJUANA,True,53
2017/01/02 05:00:00+00,1743,1743,0 DYER CT,POSSESSION/USE DRUG,True,54
2017/01/02 05:00:00+00,1803,1803,100 SWANSEA AV,POSSESSION/MARIJUANA,False,55
2017/01/02 05:00:00+00,1915,1915,200 LAKEVIEW AV,OFFN AGAINST FAMILY,False,56
2017/01/02 05:00:00+00,1936,1936,100 DABLON CT,CRIMINAL MISCHIEF,True,57
2017/01/02 05:00:00+00,2023,2023,2000 S  SALINA ST,OFFN AGAINST FAMILY,False,58
2017/01/02 05:00:00+00,2045,2045,200 WESTMORELAND AV,SIMPLE ASSAULT,False,59
2017/01/02 05:00:00+00,2217,2217,700 JAMES ST,ALL OTHER OFFENSES,False,60
2017/01/02 05:00:00+00,2302,2302,200 PUTNAM ST,SIMPLE ASSAULT,False,61
2017/01/02 05:00:00+00,1000,900,100 WASHINGTON SQ,CRIMINAL MISCHIEF,True,62
2017/01/02 05:00:00+00,1930,1930,100 DICKERSON ST,SIMPLE ASSAULT,False,63
2017/01/03 05:00:00+00,231,231,300 RICHMOND AV,CRIMINAL MISCHIEF,True,64
2017/01/03 05:00:00+00,840,841,900 BELLEVUE AV,SIMPLE ASSAULT,False,65
2017/01/03 05:00:00+00,1020,1045,200 W  NEWELL ST,ALL OTHER OFFENSES,False,66
2017/01/03 05:00:00+00,1020,1020,100 DEARBORN PL,ALL OTHER OFFENSES,False,67
2017/01/03 05:00:00+00,1302,1302,2000 E  FAYETTE ST,SIMPLE ASSAULT,False,68
2017/01/03 05:00:00+00,1322,1322,1600 W  ONONDAGA ST,POSSESSION/MARIJUANA,False,69
2017/01/03 05:00:00+00,1412,1412,1700 E  ERIE BLVD,CRIMINAL MISCHIEF,True,70
2017/01/03 05:00:00+00,1349,1349,100 HURLBURT RD,CRIMINAL MISCHIEF,True,71
2017/01/03 05:00:00+00,1659,1700,100 HOPE AV,SIMPLE ASSAULT,False,72
2017/01/03 05:00:00+00,2220,2224,200 MERRILL ST,SIMPLE ASSAULT,False,73
2017/01/04 05:00:00+00,11,40,400 CORTLAND AV,POSSESSION/MARIJUANA,False,74
2017/01/04 05:00:00+00,54,140,300 W  TAYLOR ST,POSSESSION/MARIJUANA,False,75
2017/01/04 05:00:00+00,30,30,300 S  ALVORD ST,OFFN AGAINST FAMILY,False,76
2017/01/04 05:00:00+00,322,322,2500 ERIE BLVD E,CRIMINAL MISCHIEF,True,77
2017/01/04 05:00:00+00,336,336,200 HERKIMER ST,SIMPLE ASSAULT,False,78
2017/01/04 05:00:00+00,830,800,100 LAFAYETTE RD,SIMPLE ASSAULT,False,79
2017/01/04 05:00:00+00,905,905,3100 E  GENESEE ST,SIMPLE ASSAULT,True,80
2017/01/04 05:00:00+00,1011,1050,500 TURTLE ST,SIMPLE ASSAULT,False,81
